1668682829.601621000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1878		ff:ff:ff:ff:ff:ff
1668682829.601637000	2412	-78	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1878		ff:ff:ff:ff:ff:ff
1668682829.603895000	2412	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1879		ff:ff:ff:ff:ff:ff
1668682829.603915000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1879		ff:ff:ff:ff:ff:ff
1668682829.603930000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1879		ff:ff:ff:ff:ff:ff
1668682829.665697000	2412	-83	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1880		ff:ff:ff:ff:ff:ff
1668682829.665717000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1880		ff:ff:ff:ff:ff:ff
1668682829.665733000	2462	-81	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1880		ff:ff:ff:ff:ff:ff
1668682829.667918000	2412	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1881		ff:ff:ff:ff:ff:ff
1668682829.667938000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1881		ff:ff:ff:ff:ff:ff
1668682829.978639000	2437	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	2821		ff:ff:ff:ff:ff:ff
1668682829.980937000	2437	-85	c8:ce:7f:0c:31:9a	ff:ff:ff:ff:bf:5b	390		ff:ff:33:f9:ef:f6
1668682830.044251000	2437	-84	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	2824		ff:ff:ff:ff:ff:ff
