1668898828.818659000	2437	-23	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2028	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668898828.820096000	2437	-24	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2029	5099251212	ff:ff:ff:ff:ff:ff
1668898828.821693000	2437	-24	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2030		ff:ff:ff:ff:ff:ff
1668898828.859221000	2437	-23	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2031	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668898828.860918000	2437	-24	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2032	5099251212	ff:ff:ff:ff:ff:ff
1668898828.862720000	2437	-24	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2033		ff:ff:ff:ff:ff:ff
1668898828.901125000	2437	-21	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2034	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668898828.901145000	2462	-77	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2034	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668898828.902544000	2437	-21	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2035	5099251212	ff:ff:ff:ff:ff:ff
1668898828.904698000	2437	-27	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2036		ff:ff:ff:ff:ff:ff
1668898828.941541000	2437	-28	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2037	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668898828.942951000	2437	-21	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2038	5099251212	ff:ff:ff:ff:ff:ff
1668898828.944417000	2437	-22	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2039		ff:ff:ff:ff:ff:ff
1668898828.983165000	2412	-79	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2040	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668898828.983184000	2437	-25	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2040	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668898828.984639000	2412	-79	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2041	5099251212	ff:ff:ff:ff:ff:ff
1668898828.986198000	2437	-28	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2042		ff:ff:ff:ff:ff:ff
1668898829.023444000	2437	-25	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2043	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668898829.024870000	2412	-80	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2044	5099251212	ff:ff:ff:ff:ff:ff
1668898829.024890000	2437	-25	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2044	5099251212	ff:ff:ff:ff:ff:ff
1668898829.026548000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2045		ff:ff:ff:ff:ff:ff
1668898829.108796000	2462	-54	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2051		ff:ff:ff:ff:ff:ff
1668898829.149000000	2437	-58	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2053	5099251212	ff:ff:ff:ff:ff:ff
1668898829.154747000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	908		ff:ff:ff:ff:ff:ff
1668898829.154767000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	908		ff:ff:ff:ff:ff:ff
1668898829.154782000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	908		ff:ff:ff:ff:ff:ff
1668898829.156856000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	909		ff:ff:ff:ff:ff:ff
1668898829.156876000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	909		ff:ff:ff:ff:ff:ff
1668898829.156891000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	909		ff:ff:ff:ff:ff:ff
1668898829.199226000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	910		ff:ff:ff:ff:ff:ff
1668898829.201448000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	911		ff:ff:ff:ff:ff:ff
